INFO  - 2016-01-03 17:03:14.867; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-01-03 17:03:14.867; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.867; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.868; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.868; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.868; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.868; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.869; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.869; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.895; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.895; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.922; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-01-03 17:03:14.924; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-01-03 17:03:14.925; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-01-03 17:03:14.958; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-01-03 17:03:14.958; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-01-03 17:03:14.976; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-01-03 17:03:14.977; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-01-03 17:03:14.987; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@57004a1a[collection1] main
INFO  - 2016-01-03 17:03:14.991; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2016-01-03 17:03:14.998; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2016-01-03 17:03:15.004; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2016-01-03 17:03:15.006; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2016-01-03 17:03:15.008; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2016-01-03 17:03:15.027; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2016-01-03 17:03:15.029; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/conf/elevate.xml
INFO  - 2016-01-03 17:03:15.065; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2016-01-03 17:03:15.066; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@57004a1a[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2016-01-03 17:03:15.066; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2016-01-03 17:03:15.068; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/cytsui/Downloads/solr-4.7.1/example
INFO  - 2016-01-03 17:03:15.069; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2016-01-03 17:03:15.135; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=68 
INFO  - 2016-01-03 17:03:15.136; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2016-01-03 17:03:15.136; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2016-01-03 17:03:15.137; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2016-01-03 17:03:15.137; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2016-01-03 17:03:15.137; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2016-01-03 17:03:15.138; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2016-01-03 17:03:15.167; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@57004a1a[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2016-01-03 17:03:15.179; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2016-01-03 17:03:46.514; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1451811826506&wt=json} status=0 QTime=3 
INFO  - 2016-01-03 17:03:47.032; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1451811826547&wt=json} status=0 QTime=479 
INFO  - 2016-01-03 17:03:49.893; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1451811829888&since=0&wt=json} status=0 QTime=2 
INFO  - 2016-01-03 17:03:51.396; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1451811831387&wt=json} status=0 QTime=5 
INFO  - 2016-01-03 17:03:51.428; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1451811831412&wt=json} status=0 QTime=2 
INFO  - 2016-01-03 17:03:52.551; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/properties params={_=1451811832547&wt=json} status=0 QTime=0 
INFO  - 2016-01-03 17:03:53.534; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/threads params={_=1451811833477&wt=json} status=0 QTime=54 
INFO  - 2016-01-03 17:03:56.478; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1451811836476&since=0&wt=json} status=0 QTime=0 
INFO  - 2016-01-03 17:04:09.200; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1451811849196&since=1451811794571&wt=json} status=0 QTime=0 
INFO  - 2016-01-03 17:04:19.852; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1451811859827&since=1451811794571&wt=json} status=0 QTime=0 
